"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2015-16","Spring","CS","6804","TS: NLP for Noisy Data","Rozovskaya","3.9","66.7","33.3","0","0","0","0","0","0","0","0","0","0","0","6","20079","  3"
"2015-16","Spring","CS","5754","Virtual Environments","Polys","3.85","50","50","0","0","0","0","0","0","0","0","0","0","0","6","20415","  3"
"2016-17","Fall","CS","5214","Mod & Eval Comp Sys","Chen","3.83","66.7","16.7","16.7","0","0","0","0","0","0","0","0","0","0","6","82495","  3"
"2016-17","Fall","CS","5824","Advanced Machine Learning","Wang","3.95","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","82515","  3"
"2016-17","Spring","CS","5046","Computation for Life Sciences","Heath","3.28","66.7","16.7","0","0","0","0","0","0","0","0","0","16.7","0","6","12633","  3"
"2016-17","Spring","CS","5734","Comptr-Supp Coop Work","Tatar","3.67","33.3","33.3","33.3","0","0","0","0","0","0","0","0","0","0","6","18160","  3"
"2016-17","Spring","CS","5525","Data Analytics","Reddy","3.67","33.3","33.3","33.3","0","0","0","0","0","0","0","0","0","0","6","19503","  3"
"2017-18","Fall","CS","4784","Human-Computer Interact Capstn","Tatar","2.83","16.7","16.7","16.7","33.3","0","0","0","0","0","0","0","16.7","0","6","82585","  3"
"2017-18","Fall","CS","5560","Fundamentals of Info Security","Park","3.83","66.7","16.7","16.7","0","0","0","0","0","0","0","0","0","0","6","82608","  3"
"2017-18","Spring","CS","4654","Intermed Data Analytics & ML","Gramacy","2.88","16.7","16.7","16.7","16.7","0","16.7","0","0","0","16.7","0","0","1","6","12747","  3"
"2017-18","Spring","CS","4974","Independent Study","Huang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12755","  3"
"2017-18","Spring","CS","5486","Numer Analy and Softw","Chung","3.95","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","12784","  3"
"2017-18","Spring","CS","4884","Comp Bio & Bioinfo Capstone","Zhang","3.8","33.3","66.7","0","0","0","0","0","0","0","0","0","0","0","6","19264","  3"
